0.00	263.35	113.68	0	-1.00	31.00	2.69	26.30
1.00	267.03	111.64	0	4.21	33.00	2.11	19.72
2.00	265.38	110.55	0	1.98	46.00	1.86	22.98
3.00	265.28	110.51	0	0.11	46.00	1.42	18.46
0.00	289.24	77.40	1	-1.00	45.00	2.32	20.17
1.00	290.27	79.14	1	2.02	79.00	1.76	22.91
2.00	292.10	76.25	1	3.42	43.00	2.23	21.70
3.00	294.36	76.91	1	2.35	40.00	2.43	20.38
5.00	294.81	71.72	1	-1.00	44.00	1.71	20.29
6.00	291.93	76.33	1	5.44	58.00	1.00	23.53
7.00	290.51	74.15	1	2.60	35.00	2.69	19.38
8.00	290.31	73.08	1	1.09	36.00	2.20	18.70
9.00	290.49	74.78	1	1.71	42.00	1.85	15.24
10.00	290.00	74.21	1	0.75	83.00	1.56	17.03
11.00	288.55	73.70	1	1.54	35.00	2.03	17.35
12.00	289.23	74.18	1	0.83	94.00	1.52	25.96
13.00	289.25	74.74	1	0.56	41.00	2.18	16.30
14.00	289.70	74.91	1	0.48	50.00	2.09	17.17
15.00	290.67	74.83	1	0.97	41.00	1.49	20.12
0.00	255.62	53.34	2	-1.00	35.00	1.82	21.38
1.00	255.90	55.79	2	2.47	44.00	2.26	20.30
2.00	255.54	55.95	2	0.39	59.00	1.51	17.70
3.00	254.88	55.68	2	0.71	35.00	1.85	18.36
0.00	252.50	84.64	3	-1.00	58.00	1.70	18.91
1.00	252.39	86.34	3	1.70	61.00	1.67	20.04
2.00	252.42	83.91	3	2.43	57.00	1.48	19.97
3.00	252.32	85.41	3	1.50	52.00	1.84	18.88
4.00	254.06	84.74	3	1.86	40.00	1.72	21.44
1.00	325.63	94.93	4	0.00	38.00	1.70	18.59
2.00	325.49	96.40	4	1.48	58.00	1.22	20.51
3.00	324.86	95.38	4	1.20	41.00	1.40	20.63
4.00	324.38	95.39	4	0.48	43.00	1.51	24.83
5.00	324.89	95.83	4	0.67	46.00	1.78	22.36
2.00	272.88	79.20	5	-1.00	43.00	1.47	18.36
3.00	273.18	81.02	5	1.84	61.00	1.29	18.76
4.00	273.71	79.96	5	1.19	39.00	3.50	17.41
5.00	273.38	79.64	5	0.46	59.00	1.44	22.52
3.00	244.82	103.07	6	-1.00	57.00	1.04	16.70
4.00	241.00	101.96	6	3.98	173.00	0.38	27.71
5.00	243.83	102.20	6	2.84	58.00	2.54	26.05
6.00	239.38	103.85	6	4.75	59.00	1.19	16.80
7.00	243.98	98.46	6	7.09	42.00	1.48	16.18
0.00	292.37	60.50	7	-1.00	46.00	2.28	22.64
1.00	291.20	60.94	7	1.25	59.00	1.21	22.35
2.00	290.60	61.26	7	0.68	55.00	1.55	26.25
3.00	291.57	62.11	7	1.29	63.00	1.62	17.74
4.00	291.76	62.35	7	0.31	80.00	1.56	23.49
5.00	291.73	61.55	7	0.80	79.00	1.46	24.25
6.00	292.89	63.71	7	2.45	46.00	1.83	18.92
7.00	286.57	62.86	7	6.38	50.00	1.63	18.80
4.00	307.22	55.72	8	-1.00	38.00	1.80	18.00
5.00	308.54	50.27	8	5.61	40.00	1.74	21.93
6.00	306.63	47.78	8	3.14	33.00	2.55	17.25
7.00	305.07	46.14	8	2.26	81.00	1.11	22.31
5.00	260.01	144.50	9	-1.00	32.00	2.36	22.11
6.00	253.76	140.56	9	7.39	35.00	1.87	28.29
7.00	253.68	145.61	9	5.05	37.00	1.92	22.89
8.00	252.98	141.59	9	4.08	41.00	2.10	19.47
5.00	275.89	49.96	10	-1.00	65.00	1.39	17.24
6.00	277.52	48.53	10	2.17	42.00	2.40	17.83
7.00	276.83	48.46	10	0.69	55.00	1.77	21.93
8.00	274.70	49.69	10	2.46	40.00	1.58	22.88
0.00	309.70	86.92	11	-1.00	36.00	2.48	21.05
1.00	308.97	86.62	11	0.79	73.00	1.16	21.66
2.00	310.22	86.61	11	1.25	34.00	2.02	14.49
3.00	310.19	85.78	11	0.83	65.00	1.66	21.50
4.00	310.83	84.97	11	1.03	71.00	1.81	23.56
5.00	309.59	85.87	11	1.53	71.00	1.56	22.35
6.00	309.53	86.36	11	0.49	41.00	2.62	21.30
7.00	309.47	85.55	11	0.81	92.00	1.94	22.72
8.00	309.82	85.92	11	0.51	69.00	1.61	18.07
9.00	309.66	86.84	11	0.93	68.00	1.47	19.00
10.00	313.77	79.86	11	8.10	45.00	1.57	20.07
8.00	258.66	79.46	12	-1.00	54.00	1.45	21.50
9.00	259.80	80.53	12	1.56	38.00	1.67	23.40
10.00	259.39	77.40	12	3.16	38.00	1.73	18.65
11.00	262.25	69.87	12	8.05	51.00	1.27	18.88
0.00	245.96	108.62	13	-1.00	42.00	1.55	20.61
1.00	244.68	108.04	13	1.41	35.00	3.69	28.72
2.00	244.77	108.74	13	0.71	56.00	1.75	20.75
3.00	243.60	110.45	13	2.07	45.00	1.56	21.38
4.00	241.41	111.78	13	2.56	54.00	2.20	24.61
